<Explore, click, (resource-id:remix.myplayer:id/md_buttonDefaultNeutral, class:android.widget.TextView, content-desc:, text:IGNORE THIS VERSION), Empty>
<Exact, click, (resource-id:, class:android.widget.TextView, content-desc:, text:PLAYLISTS), Empty>
<Explore, click, (resource-id:, class:android.widget.ImageButton, content-desc:, text:), Empty>
<Explore, click, (resource-id:remix.myplayer:id/item_text, class:android.widget.TextView, content-desc:, text:Song Library), Empty>
<Explore, click, (resource-id:remix.myplayer:id/btn_add, class:android.widget.ImageView, content-desc:, text:), Empty>
<Exact, input, (resource-id:android:id/input, class:android.widget.EditText, content-desc:, text:Playlist1), test>
<Exact, click, (resource-id:remix.myplayer:id/md_buttonDefaultPositive, class:android.widget.TextView, content-desc:, text:CREATE), Empty>
<Explore, click, (resource-id:remix.myplayer:id/cancel, class:android.widget.TextView, content-desc:, text:Cancel), Empty>
<Explore, click, (resource-id:remix.myplayer:id/btn_add, class:android.widget.ImageView, content-desc:, text:), Empty>
<Exact, input_and_enter, (resource-id:android:id/input, class:android.widget.EditText, content-desc:, text:Playlist2), test>
<Exact, click, (resource-id:remix.myplayer:id/md_buttonDefaultPositive, class:android.widget.TextView, content-desc:, text:CREATE), Empty>
